/home/dongdong/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch=37, BatchID=0, Val_AUC=0.8717, Best_Val_AUC=0.8960
Epoch=37, BatchID=100, Val_AUC=0.8621, Best_Val_AUC=0.8960
Epoch=38, BatchID=0, Val_AUC=0.8701, Best_Val_AUC=0.8960
Epoch=38, BatchID=100, Val_AUC=0.8692, Best_Val_AUC=0.8960
Epoch=39, BatchID=0, Val_AUC=0.8479, Best_Val_AUC=0.8960
Epoch=39, BatchID=100, Val_AUC=0.8220, Best_Val_AUC=0.8960
Epoch=40, BatchID=0, Val_AUC=0.8762, Best_Val_AUC=0.8960
Epoch=40, BatchID=100, Val_AUC=0.8648, Best_Val_AUC=0.8960
Epoch=41, BatchID=0, Val_AUC=0.8697, Best_Val_AUC=0.8960
Epoch=41, BatchID=100, Val_AUC=0.8519, Best_Val_AUC=0.8960
Epoch=42, BatchID=0, Val_AUC=0.8574, Best_Val_AUC=0.8960
Epoch=42, BatchID=100, Val_AUC=0.8670, Best_Val_AUC=0.8960
Epoch=43, BatchID=0, Val_AUC=0.8641, Best_Val_AUC=0.8960
Epoch=43, BatchID=100, Val_AUC=0.8644, Best_Val_AUC=0.8960
Epoch=44, BatchID=0, Val_AUC=0.8553, Best_Val_AUC=0.8960
Epoch=44, BatchID=100, Val_AUC=0.8641, Best_Val_AUC=0.8960
Epoch=45, BatchID=0, Val_AUC=0.8721, Best_Val_AUC=0.8960
Epoch=45, BatchID=100, Val_AUC=0.8492, Best_Val_AUC=0.8960
Epoch=46, BatchID=0, Val_AUC=0.8376, Best_Val_AUC=0.8960
Epoch=46, BatchID=100, Val_AUC=0.8598, Best_Val_AUC=0.8960
Epoch=47, BatchID=0, Val_AUC=0.8509, Best_Val_AUC=0.8960
Epoch=47, BatchID=100, Val_AUC=0.8350, Best_Val_AUC=0.8960
Epoch=48, BatchID=0, Val_AUC=0.8595, Best_Val_AUC=0.8960
Epoch=48, BatchID=100, Val_AUC=0.8591, Best_Val_AUC=0.8960
Epoch=49, BatchID=0, Val_AUC=0.8611, Best_Val_AUC=0.8960
Epoch=49, BatchID=100, Val_AUC=0.8536, Best_Val_AUC=0.8960
**********  Validation  **********
AUC:  0.8960435462783158
ACC:  TensorBase(0.9018)
**********  Test  **********
AUC:  0.8782686737167177
ACC:  TensorBase(0.8981)
